Timestamp,,Depth [cm],Force [Pounds/Raw],Force [Offset]
0.028,-0.324553837,0.201501155,-7.384808185,-2.384808185
0.028,-0.365313428,0.202078522,-5.35905442,-0.35905442
0.028,-0.339818183,0.202655889,-5.745657755,-0.745657755
0.028,-0.360077212,0.203233256,-6.311025995,-1.311025995
0.028,-0.397100482,0.203810624,-5.85822448,-0.85822448
0.028,-0.366282546,0.204387991,-6.62039812,-1.62039812
0.028,-0.349688272,0.204965358,-3.060456805,1.939543195
0.028,-0.425398713,0.205542725,-6.83748044,-1.83748044
0.028,-0.317743177,0.206120092,-6.868641295,-1.868641295
0.028,-0.333752999,0.20669746,-8.153542005,-3.153542005
0.028,-0.237944552,0.207274827,-4.42124687,0.57875313
0.028,-0.230808865,0.207852194,-6.151196155,-1.151196155
0.028,-0.260660666,0.208429561,-3.546208315,1.453791685
0.028,-0.326274393,0.209006928,-8.15100739,-3.15100739
0.028,-0.285458146,0.209584296,-4.34669937,0.65330063
0.028,-0.341180911,0.210161663,-6.20710678,-1.20710678
0.028,-0.378052105,0.21073903,-6.371558565,-1.371558565
0.028,-0.396006125,0.211316397,-6.12719186,-1.12719186
0.028,-0.327529773,0.211893764,-6.411516025,-1.411516025
0.028,-0.290077109,0.212471132,-4.16897813,0.83102187
0.028,-0.335768763,0.213048499,-2.74243717,2.25756283
0.028,-0.358690628,0.213625866,-6.10840589,-1.10840589
0.028,-0.412668982,0.214203233,-3.66086237,1.33913763
0.028,-0.454460311,0.2147806,-3.890617765,1.109382235
0.028,-0.528921335,0.215357968,-7.049940815,-2.049940815
0.028,-0.513525786,0.215935335,-8.068259665,-3.068259665
0.028,-0.474701448,0.216512702,-4.585102275,0.414897725
0.028,-0.515138994,0.217090069,-3.446612855,1.553387145
0.028,-0.594007267,0.217667436,-1.57502332,3.42497668
0.028,-0.700583355,0.218244804,-4.64846765,0.35153235
0.028,-0.777349388,0.218822171,-6.007468575,-1.007468575
0.028,-0.774406253,0.219399538,-3.9790311,1.0209689
0.028,-0.872471998,0.219976905,-6.953923635,-1.953923635
0.028,-0.789733219,0.220554273,-4.11381298,0.88618702
0.028,-0.800128122,0.22113164,-5.11125853,-0.11125853
0.028,-0.85291968,0.221709007,-3.973812775,1.026187225
0.028,-0.920021376,0.222286374,-5.99449731,-0.99449731
0.028,-0.905156604,0.222863741,-6.73371032,-1.73371032
0.028,-0.908797504,0.223441109,-6.437160365,-1.437160365
0.028,-0.887724417,0.224018476,-4.122013205,0.877986795
0.028,-0.935506382,0.224595843,-5.923080805,-0.923080805
0.028,-0.888541457,0.22517321,-7.08438176,-2.08438176
0.028,-0.831786955,0.225750577,-5.599842845,-0.599842845
0.028,-0.789718309,0.226327945,-2.337047865,2.662952135
0.028,-0.857252381,0.226905312,-0.309952245,4.690047755
0.028,-0.913971101,0.227482679,-5.273921175,-0.273921175
0.028,-0.937656332,0.228060046,-4.755368765,0.244631235
0.028,-0.920128724,0.228637413,-6.757714615,-1.757714615
0.028,-0.833573113,0.229214781,-3.829190625,1.170809375
0.028,-0.785522776,0.229792148,-7.05277362,-2.05277362
0.028,-0.753419641,0.230369515,-9.42278774,-4.42278774
0.028,-0.693224025,0.230946882,-4.08429217,0.91570783
0.028,-0.698218708,0.231524249,-6.758609185,-1.758609185
0.028,-0.585920354,0.232101617,-8.162189515,-3.162189515
0.028,-0.574669645,0.232678984,-4.317327655,0.682672345
0.028,-0.577004473,0.233256351,-5.790684445,-0.790684445
0.028,-0.629196669,0.233833718,-6.845978855,-1.845978855
0.028,-0.596145289,0.234411085,-1.454703655,3.545296345
0.028,-0.641842907,0.234988453,-7.66913235,-2.66913235
0.028,-0.600653922,0.23556582,-3.363119655,1.636880345
0.028,-0.579533124,0.236143187,-4.064462535,0.935537465
0.028,-0.604542319,0.236720554,-7.6437862,-2.6437862
0.028,-0.575859423,0.237297921,-6.826894695,-1.826894695
0.028,-0.558761209,0.237875289,-6.11019503,-1.11019503
0.028,-0.614245422,0.238452656,-7.132837635,-2.132837635
0.028,-0.613446273,0.239030023,-8.050666455,-3.050666455
0.028,-0.489995613,0.23960739,-7.26925956,-2.26925956
0.028,-0.472909326,0.240184758,-2.70337428,2.29662572
0.028,-0.503139828,0.240762125,-4.538882825,0.461117175
0.028,-0.506482538,0.241339492,-6.453560815,-1.453560815
0.028,-0.489429052,0.241916859,-3.888530435,1.111469565
0.028,-0.483381759,0.242494226,-8.80732358,-3.80732358
0.028,-0.402062364,0.243071594,-5.750428795,-0.750428795
0.028,-0.441247512,0.243648961,-7.61366901,-2.61366901
0.028,-0.349458666,0.244226328,-6.28016333,-1.28016333
0.028,-0.362498515,0.244803695,-6.127042765,-1.127042765
0.028,-0.419625755,0.245381062,-6.60697957,-1.60697957
0.028,-0.390617832,0.24595843,-7.39002651,-2.39002651
0.028,-0.329020723,0.246535797,-6.903827715,-1.903827715
0.028,-0.325191964,0.247113164,-8.48676933,-3.48676933
0.028,-0.248109849,0.247690531,-5.86031181,-0.86031181
0.028,-0.218994577,0.248267898,-8.882318365,-3.882318365
0.028,-0.236232941,0.248845266,-2.81698467,2.18301533
0.028,-0.320334449,0.249422633,-4.63355815,0.36644185
0.028,-0.339511047,0.25,-7.75083641,-2.75083641
0.028,-0.255108368,0.250577367,-7.32889756,-2.32889756
0.028,-0.303966799,0.251154734,-5.251258735,-0.251258735
0.028,-0.307190233,0.251732102,-6.915755315,-1.915755315
0.028,-0.344058445,0.252309469,-5.383506,-0.383506
0.028,-0.349783693,0.252886836,-6.511111485,-1.511111485
0.028,-0.354852923,0.253464203,-3.574834555,1.425165445
0.028,-0.415486878,0.25404157,-4.246656625,0.753343375
0.028,-0.418555253,0.254618938,-3.496410585,1.503589415
0.028,-0.470646064,0.255196305,-5.713751425,-0.713751425
0.028,-0.450255832,0.255773672,-3.14588824,1.85411176
0.028,-0.495926612,0.256351039,-6.45818276,-1.45818276
0.028,-0.447810674,0.256928406,-3.878988355,1.121011645
0.028,-0.4881856,0.257505774,-2.42993405,2.57006595
0.028,-0.519757957,0.258083141,-1.426673795,3.573326205
0.028,-0.610863947,0.258660508,-5.44761685,-0.44761685
0.028,-0.664854229,0.259237875,-6.413006975,-1.413006975
0.028,-0.670093427,0.259815242,-4.334026295,0.665973705
0.028,-0.711825118,0.26039261,-1.143691485,3.856308515
0.028,-0.742660946,0.260969977,-7.59965408,-2.59965408
0.028,-0.697825097,0.261547344,-4.43406904,0.56593096
0.028,-0.766137444,0.262124711,-8.40029423,-3.40029423
