Timestamp,,Depth [cm],Force [Pounds/Raw],Force [Offset]
0.02,1.003506894,0.135681293,-4.360565205,0.639434795
0.02,1.023288818,0.136258661,-3.692619605,1.307380395
0.02,0.993934995,0.136836028,-2.01813366,2.98186634
0.02,1.00995078,0.137413395,-2.469444225,2.530555775
0.02,0.913459477,0.137990762,-3.32569681,1.67430319
0.02,0.911243926,0.138568129,-3.758221405,1.241778595
0.02,0.938206265,0.139145497,-3.22401402,1.77598598
0.02,0.91956939,0.139722864,-4.42154506,0.57845494
0.02,0.901069683,0.140300231,-2.50328879,2.49671121
0.02,0.879853464,0.140877598,-4.04821118,0.95178882
0.02,0.80685357,0.141454965,-4.354303215,0.645696785
0.02,0.806943027,0.142032333,-1.97907077,3.02092923
0.02,0.781164502,0.1426097,-3.946379295,1.053620705
0.02,0.788341935,0.143187067,-2.34912456,2.65087544
0.02,0.737566142,0.143764434,-5.918906145,-0.918906145
0.02,0.784769619,0.144341801,-2.46064762,2.53935238
0.02,0.768330404,0.144919169,-3.887934055,1.112065945
0.02,0.747489905,0.145496536,-4.270511825,0.729488175
0.02,0.710237029,0.146073903,-1.372999595,3.627000405
0.02,0.687100466,0.14665127,-4.053727695,0.946272305
0.02,0.652883164,0.147228637,-5.68527428,-0.68527428
0.02,0.729309261,0.147806005,-4.487594145,0.512405855
0.02,0.736555278,0.148383372,-4.61328123,0.38671877
0.02,0.763377468,0.148960739,-4.357285115,0.642714885
0.02,0.792835659,0.149538106,-2.698752335,2.301247665
0.02,0.771926576,0.150115473,-5.11901147,-0.11901147
0.02,0.802273372,0.150692841,-3.97336549,1.02663451
0.02,0.800147277,0.151270208,-4.823654275,0.176345725
0.02,0.860059612,0.151847575,-5.155539745,-0.155539745
0.02,0.864771014,0.152424942,-5.507105755,-0.507105755
0.02,0.87006985,0.153002309,-3.99751888,1.00248112
0.02,0.898138475,0.153579677,-8.14116712,-3.14116712
0.02,0.986519009,0.154157044,-6.06427377,-1.06427377
0.02,1.045506955,0.154734411,-4.365038055,0.634961945
0.02,1.048459036,0.155311778,-4.25724237,0.74275763
0.02,1.073569616,0.155889145,-2.908678095,2.091321905
