Timestamp (seconds),Torque [Pound-inches/Raw],,
0.022,0.584178905,1.241292087,1.241292087
0.022,2.351400335,1.231379587,1.231379587
0.022,2.231192735,1.202020812,1.202020812
0.022,1.925854665,1.217489544,1.217489544
0.022,1.574563285,1.18990454,1.18990454
0.022,0.90758765,1.206312054,1.206312054
0.022,2.33183861,1.220883174,1.220883174
0.022,0.70808516,1.189234147,1.189234147
0.022,1.598987535,1.200805274,1.200805274
0.022,1.03045017,1.175812874,1.175812874
0.022,0.865689145,1.17454606,1.17454606
0.022,2.188577675,1.179224975,1.179224975
0.022,0.930429685,1.152460048,1.152460048
0.022,1.02302389,1.169776524,1.169776524
0.022,0.68452657,1.169397797,1.169397797
0.022,1.26842175,1.195974852,1.195974852
0.022,0.967676965,1.177154819,1.177154819
0.022,0.718104165,1.195560919,1.195560919
0.022,2.093150475,1.197152781,1.197152781
0.022,0.608333915,1.166254664,1.166254664
0.022,0.647130185,1.170441532,1.170441532
0.022,2.708626945,1.165333195,1.165333195
0.022,2.657036615,1.119877624,1.119877624
0.022,2.737851525,1.088344898,1.088344898
0.022,0.963502025,1.03711242,1.03711242
0.022,0.774465855,1.074896207,1.074896207
0.022,0.1793878,1.070598421,1.070598421
0.022,0.54141474,1.124753357,1.124753357
0.022,1.771352915,1.135972018,1.135972018
0.022,1.120658695,1.150042145,1.150042145
0.022,0.933084605,1.152812516,1.152812516
0.022,0.592230575,1.139521296,1.139521296
0.022,0.38005416,1.130026869,1.130026869
0.022,1.279306415,1.141281894,1.141281894
0.022,0.671554435,1.121278546,1.121278546
0.022,0.18475558,1.138198982,1.138198982
0.022,0.855251795,1.210371766,1.210371766
0.022,2.86891482,1.265826898,1.265826898
0.022,1.10649372,1.231255412,1.231255412
0.022,0.879406805,1.23809635,1.23809635
0.022,0.041167465,1.232553205,1.232553205
0.022,0.956046775,1.279536191,1.279536191
0.029,1.891262305,1.286857246,1.286857246
0.029,0.87060961,1.249962705,1.249962705
0.029,0.87060961,1.249545211,1.249545211
0.029,2.482881975,1.259902044,1.259902044
0.029,1.183879215,1.226917616,1.226917616
0.029,0.06129664,1.234531496,1.234531496
0.029,0.966811305,1.233875434,1.233875434
0.029,2.29548596,1.230221782,1.230221782
0.029,0.088553885,1.190646333,1.190646333
0.029,0.88346161,1.235792345,1.235792345
0.029,3.00462934,1.272674379,1.272674379
0.029,0.546604445,1.251104849,1.251104849
0.029,2.394938995,1.278227049,1.278227049
0.029,1.63614365,1.267607791,1.267607791
0.029,0.749387245,1.239268315,1.239268315
0.029,1.28664153,1.225977095,1.225977095
0.029,0.3493675,1.213192833,1.213192833
0.029,0.967109515,1.253358158,1.253358158
0.029,1.09963489,1.239821827,1.239821827
0.029,0.85033133,1.231543517,1.231543517
0.029,1.79625345,1.215735405,1.215735405
0.029,1.004087555,1.233852242,1.233852242
0.029,2.0133793,1.220289072,1.220289072
0.029,0.327420095,1.183229936,1.183229936
0.029,1.887981995,1.208402421,1.208402421
0.029,0.797697265,1.181241454,1.181241454
0.029,0.5482446,1.182416981,1.182416981
0.029,0.817677335,1.212411522,1.212411522
0.029,0.39171332,1.233274873,1.233274873
0.029,0.4358484,1.264022727,1.264022727
0.029,1.080400345,1.267359697,1.267359697
0.029,0.176227625,1.3103914,1.3103914
0.029,2.852691345,1.361254677,1.361254677
0.029,0.55957658,1.323548425,1.323548425
0.029,2.8871346,1.337391913,1.337391913
0.029,1.10234775,1.286439752,1.286439752
0.029,2.474859275,1.292698601,1.292698601
0.029,1.25917724,1.281723893,1.281723893
0.029,0.26852362,1.278351138,1.278351138
0.029,0.117509225,1.309728794,1.309728794
0.029,0.9428054,1.315343509,1.315343509
